REF_AREA,INDICATOR,TIME_PERIOD,OBS_VALUE,UNIT_MEASURE,OBS_STATUS,EXTRACTION_METHOD,SOURCE,REF_AREA_LABEL,INDICATOR_LABEL,DATA_DATE
NE-5,COWPEA_AREA_HA,2024/2025,889023.0,ha,A,pdfplumber,bulletin_3T25.pdf,TAHOUA,Niébé / Superficie,2026-09-14
NE-6,COWPEA_AREA_HA,2024/2025,1014945.0,ha,A,pdfplumber,bulletin_3T25.pdf,TILLABERY,Niébé / Superficie,2026-09-14
NE-7,COWPEA_AREA_HA,2024/2025,1355467.0,ha,A,pdfplumber,bulletin_3T25.pdf,ZINDER,Niébé / Superficie,2026-09-14
NE-8,COWPEA_AREA_HA,2024/2025,15632.0,ha,A,pdfplumber,bulletin_3T25.pdf,NIAMEY.,Niébé / Superficie,2026-09-14
_T,COWPEA_AREA_HA,2024/2025,5573430.0,ha,A,pdfplumber,bulletin_3T25.pdf,ENSEMBLE,Niébé / Superficie,2026-09-14
NE-1,COWPEA_YIELD_KG_HA,2024/2025,444.0,kg/ha,A,pdfplumber,bulletin_3T25.pdf,AGADEZ,Niébé / Rendement,2026-09-14
NE-2,COWPEA_YIELD_KG_HA,2024/2025,404.0,kg/ha,A,pdfplumber,bulletin_3T25.pdf,DIFFA,Niébé / Rendement,2026-09-14
NE-3,COWPEA_YIELD_KG_HA,2024/2025,524.0,kg/ha,A,pdfplumber,bulletin_3T25.pdf,DOSSO,Niébé / Rendement,2026-09-14
NE-4,COWPEA_YIELD_KG_HA,2024/2025,561.0,kg/ha,A,pdfplumber,bulletin_3T25.pdf,MARADI,Niébé / Rendement,2026-09-14
NE-5,COWPEA_YIELD_KG_HA,2024/2025,527.0,kg/ha,A,pdfplumber,bulletin_3T25.pdf,TAHOUA,Niébé / Rendement,2026-09-14
NE-6,COWPEA_YIELD_KG_HA,2024/2025,419.0,kg/ha,A,pdfplumber,bulletin_3T25.pdf,TILLABERY,Niébé / Rendement,2026-09-14
NE-7,COWPEA_YIELD_KG_HA,2024/2025,458.0,kg/ha,A,pdfplumber,bulletin_3T25.pdf,ZINDER,Niébé / Rendement,2026-09-14
NE-8,COWPEA_YIELD_KG_HA,2024/2025,413.0,kg/ha,A,pdfplumber,bulletin_3T25.pdf,NIAMEY.,Niébé / Rendement,2026-09-14
_T,COWPEA_YIELD_KG_HA,2024/2025,496.0,kg/ha,A,pdfplumber,bulletin_3T25.pdf,ENSEMBLE,Niébé / Rendement,2026-09-14
NE-1,COWPEA_PROD_T,2024/2025,72.0,t,A,pdfplumber,bulletin_3T25.pdf,AGADEZ,Niébé / Production,2026-09-14
NE-2,COWPEA_PROD_T,2024/2025,19955.0,t,A,pdfplumber,bulletin_3T25.pdf,DIFFA,Niébé / Production,2026-09-14
NE-3,COWPEA_PROD_T,2024/2025,554733.0,t,A,pdfplumber,bulletin_3T25.pdf,DOSSO,Niébé / Production,2026-09-14
NE-4,COWPEA_PROD_T,2024/2025,668219.0,t,A,pdfplumber,bulletin_3T25.pdf,MARADI,Niébé / Production,2026-09-14
NE-5,COWPEA_PROD_T,2024/2025,468397.0,t,A,pdfplumber,bulletin_3T25.pdf,TAHOUA,Niébé / Production,2026-09-14
NE-6,COWPEA_PROD_T,2024/2025,424918.0,t,A,pdfplumber,bulletin_3T25.pdf,TILLABERY,Niébé / Production,2026-09-14
NE-7,COWPEA_PROD_T,2024/2025,620265.0,t,A,pdfplumber,bulletin_3T25.pdf,ZINDER,Niébé / Production,2026-09-14
NE-8,COWPEA_PROD_T,2024/2025,6461.0,t,A,pdfplumber,bulletin_3T25.pdf,NIAMEY.,Niébé / Production,2026-09-14
_T,COWPEA_PROD_T,2024/2025,2763020.0,t,A,pdfplumber,bulletin_3T25.pdf,ENSEMBLE,Niébé / Production,2026-09-14
NE-1,GROUNDNUT_AREA_HA,2024/2025,4.0,ha,A,pdfplumber,bulletin_3T25.pdf,AGADEZ,Arachide / Superficie,2026-09-14
NE-2,GROUNDNUT_AREA_HA,2024/2025,5840.0,ha,A,pdfplumber,bulletin_3T25.pdf,DIFFA,Arachide / Superficie,2026-09-14
NE-3,GROUNDNUT_AREA_HA,2024/2025,96098.0,ha,A,pdfplumber,bulletin_3T25.pdf,DOSSO,Arachide / Superficie,2026-09-14
NE-4,GROUNDNUT_AREA_HA,2024/2025,361591.0,ha,A,pdfplumber,bulletin_3T25.pdf,MARADI,Arachide / Superficie,2026-09-14
NE-5,GROUNDNUT_AREA_HA,2024/2025,74947.0,ha,A,pdfplumber,bulletin_3T25.pdf,TAHOUA,Arachide / Superficie,2026-09-14
NE-6,GROUNDNUT_AREA_HA,2024/2025,28884.0,ha,A,pdfplumber,bulletin_3T25.pdf,TILLABERY,Arachide / Superficie,2026-09-14
NE-7,GROUNDNUT_AREA_HA,2024/2025,474900.0,ha,A,pdfplumber,bulletin_3T25.pdf,ZINDER,Arachide / Superficie,2026-09-14
_T,GROUNDNUT_AREA_HA,2024/2025,1042264.0,ha,A,pdfplumber,bulletin_3T25.pdf,ENSEMBLE,Arachide / Superficie,2026-09-14
NE-1,GROUNDNUT_YIELD_KG_HA,2024/2025,750.0,kg/ha,A,pdfplumber,bulletin_3T25.pdf,AGADEZ,Arachide / Rendement,2026-09-14
NE-2,GROUNDNUT_YIELD_KG_HA,2024/2025,589.0,kg/ha,A,pdfplumber,bulletin_3T25.pdf,DIFFA,Arachide / Rendement,2026-09-14
NE-3,GROUNDNUT_YIELD_KG_HA,2024/2025,620.0,kg/ha,A,pdfplumber,bulletin_3T25.pdf,DOSSO,Arachide / Rendement,2026-09-14
NE-4,GROUNDNUT_YIELD_KG_HA,2024/2025,677.0,kg/ha,A,pdfplumber,bulletin_3T25.pdf,MARADI,Arachide / Rendement,2026-09-14
NE-5,GROUNDNUT_YIELD_KG_HA,2024/2025,601.0,kg/ha,A,pdfplumber,bulletin_3T25.pdf,TAHOUA,Arachide / Rendement,2026-09-14
NE-6,GROUNDNUT_YIELD_KG_HA,2024/2025,575.0,kg/ha,A,pdfplumber,bulletin_3T25.pdf,TILLABERY,Arachide / Rendement,2026-09-14
NE-7,GROUNDNUT_YIELD_KG_HA,2024/2025,639.0,kg/ha,A,pdfplumber,bulletin_3T25.pdf,ZINDER,Arachide / Rendement,2026-09-14
_T,GROUNDNUT_YIELD_KG_HA,2024/2025,645.0,kg/ha,A,pdfplumber,bulletin_3T25.pdf,ENSEMBLE,Arachide / Rendement,2026-09-14
NE-1,GROUNDNUT_PROD_T,2024/2025,3.0,t,A,pdfplumber,bulletin_3T25.pdf,AGADEZ,Arachide / Production,2026-09-14
NE-2,GROUNDNUT_PROD_T,2024/2025,3439.0,t,A,pdfplumber,bulletin_3T25.pdf,DIFFA,Arachide / Production,2026-09-14
NE-3,GROUNDNUT_PROD_T,2024/2025,59548.0,t,A,pdfplumber,bulletin_3T25.pdf,DOSSO,Arachide / Production,2026-09-14
